"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type","typetext","zip"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000111","1","1F",,"2011-01-01T00:00:03.000","2011-01-01T00:00:02.000",,"17M","MUNICIPAL  ATTTACHME","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000211","1","1F",,"2011-01-01T00:00:04.000","2011-01-01T00:00:02.000",,"17M","MUNICIPAL  ATTTACHME","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000311","1","1F",,"2011-01-01T00:00:04.000","2011-01-01T00:00:02.000",,"17M","MUNICIPAL  ATTTACHME","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000411","1","1F",,"2011-01-01T00:00:04.000","2011-01-01T00:00:02.000",,"17M","MUNICIPAL  ATTTACHME","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000511","1","1F",,"2011-01-01T00:00:05.000","2011-01-01T00:00:02.000",,"17M","MUNICIPAL  ATTTACHME","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000611","1","1G",,"2011-01-01T00:00:16.000","2011-01-01T00:00:15.000",,"17F","FUGITIVE ATTTACHMENT","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000711","1","1G",,"2011-01-01T00:00:17.000","2011-01-01T00:00:15.000",,"17F","FUGITIVE ATTTACHMENT","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000811","1","1G",,"2011-01-01T00:00:17.000","2011-01-01T00:00:15.000",,"17F","FUGITIVE ATTTACHMENT","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0000911","1","1G",,"2011-01-01T00:00:18.000","2011-01-01T00:00:15.000",,"17F","FUGITIVE ATTTACHMENT","70119"
"007XX S Dupre St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09455728362126 29.961547427694992)",,,,,"3673089.00000000","533629.00000000","A0001011","1","1G",,"2011-01-01T00:00:18.000","2011-01-01T00:00:15.000",,"17F","FUGITIVE ATTTACHMENT","70119"
"008XX Decatur St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06192349464182 29.957581432135115)",,,,,"3683438.00000000","532300.00000000","A0001111","8","1H","2011-01-01T00:00:30.000","2011-01-01T00:01:56.000","2011-01-01T00:00:30.000","2011-01-01T00:00:30.000","18","TRAFFIC  INCIDENT","70116"
"012XX S Galvez St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09049567595399 29.950657669616678)",,,,,"3674418.00000000","529683.00000000","A0001211","6","1H","2011-01-01T00:21:31.000","2011-01-01T01:15:36.000","2011-01-01T00:00:34.000","2011-01-01T00:00:37.000","21","COMPLAINT OTHER","70125"
"N Miro St & St Roch Ave","UNF","UNFOUNDED","POINT (-90.05314413827422 29.97996927210477)",,,,,"3686127.00000000","540472.00000000","A0001511","5","2B","2011-01-01T00:06:52.000","2011-01-01T00:39:01.000","2011-01-01T00:00:46.000","2011-01-01T00:02:41.000","94","DISCHARGING FIREARMS","70117"
"Hayne Blvd & Lehigh St","UNF","UNFOUNDED","POINT (-89.97781526677812 30.05254367093112)",,,,,"3709662.00000000","567137.00000000","A0001811","7","1B",,"2011-01-01T00:42:11.000","2011-01-01T00:01:09.000","2011-01-01T00:04:24.000","94","DISCHARGING FIREARMS","70127"
"101XX Curran Blvd","UNF","UNFOUNDED","POINT (-89.98135785087662 30.046560373919366)",,,,,"3708567.00000000","564948.00000000","A0001711","7","1B",,"2011-01-01T00:19:08.000","2011-01-01T00:01:12.000","2011-01-01T00:04:00.000","94","DISCHARGING FIREARMS","70127"
"Farragut St & Shepard St","UNF","UNFOUNDED","POINT (-90.03428543252949 29.936356423819092)",,,,,"3692277.00000000","524680.00000000","A0002311","4","2B","2011-01-01T00:09:26.000","2011-01-01T01:08:20.000","2011-01-01T00:01:14.000","2011-01-01T00:05:21.000","94","DISCHARGING FIREARMS","70114"
"Mac Arthur Blvd & Woodland Dr","UNF","UNFOUNDED","POINT (-89.99266140567609 29.920577182581678)",,,,,"3705527.00000000","519094.00000000","A0002111","4","2B",,"2011-01-01T00:16:12.000","2011-01-01T00:02:18.000","2011-01-01T00:03:38.000","94","DISCHARGING FIREARMS","70131"
"043XX Maple Leaf Dr","NAT","NECESSARY ACTION TAKEN","POINT (-89.98938994275403 29.91009092555885)",,,,,"3706608.00000000","515293.00000000","A0001611","4","1H","2011-01-01T00:02:35.000","2011-01-01T00:11:20.000","2011-01-01T00:02:24.000","2011-01-01T00:02:27.000","94F","FIREWORKS","70131"
"I-10 W & Morrison Exit","NAT","NECESSARY ACTION TAKEN","POINT (-90.01210568934152 30.025700332708535)",,,,,"3698927.00000000","557249.00000000","A0002011","7","2H","2011-01-01T00:13:53.000","2011-01-01T00:46:39.000","2011-01-01T00:02:26.000","2011-01-01T00:04:51.000","18","TRAFFIC  INCIDENT","70126"
"060XX Airway St","UNF","UNFOUNDED","POINT (-90.01942676820143 30.0133244125833)",,,,,"3696662.00000000","552722.00000000","A0003111","7","2B",,"2011-01-01T00:19:09.000","2011-01-01T00:02:38.000","2011-01-01T00:12:02.000","94","DISCHARGING FIREARMS","70126"
"006XX Bourbon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06629127670833 29.95781881107571)",,,,,"3682054.00000000","532371.00000000","A0001911","8","2B",,"2011-01-01T00:26:35.000","2011-01-01T00:02:44.000","2011-01-01T00:02:46.000","107","SUSPICIOUS PERSON","70112"
"025XX Eton St","GOA","GONE ON ARRIVAL","POINT (-89.99739694040298 29.92787993418945)",,,,,"3703996.00000000","521732.00000000","A0002711","4","1A",,"2011-01-01T00:44:36.000","2011-01-01T00:02:49.000","2011-01-01T00:26:26.000","94F","FIREWORKS","70131"
