"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type_","typetext","zip"
"052XX Burgundy St","UNF","UNFOUNDED","POINT (-90.02123092953371 29.960019973022543)",,,,,"3696313.00000000","533332.00000000","A0000113","5","2B","2013-01-01T00:23:57.000","2013-01-01T00:24:10.000","2012-12-31T23:59:34.000","2013-01-01T00:03:10.000","94","DISCHARGING FIREARM","70117"
"029XX Bacchus Dr","UNF","UNFOUNDED","POINT (-89.97771660629039 29.92009950776069)",,,,,"3710263.00000000","518976.00000000","A0000213","4","2B","2013-01-01T00:14:35.000","2013-01-01T00:21:29.000","2012-12-31T23:59:49.000","2013-01-01T00:05:43.000","94","DISCHARGING FIREARM","70131"
"006XX Decatur St","DUP","DUPLICATE","POINT (-90.06310829672566 29.956300375853115)",,,,,"3683068.00000000","531830.00000000","A0000313","8","1C",,"2013-01-01T00:33:26.000","2013-01-01T00:00:22.000",,"67S","SHOPLIFTING","70130"
"007XX S White St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09359315760538 29.961109350200267)",,,,,"3673396.00000000","533473.00000000","A0000413","1","1H","2013-01-01T00:00:33.000","2013-01-01T00:13:58.000","2013-01-01T00:00:29.000","2013-01-01T00:00:30.000","21","COMPLAINT OTHER","70119"
"055XX Cherlyn Dr","VOI","VOID","POINT (-90.11911498388514 29.991690537674508)",,,,,"3665197.00000000","544507.00000000","A0000513","3","2C",,"2013-01-01T00:36:32.000","2013-01-01T00:00:22.000","2013-01-01T00:36:13.000","62A","BURGLAR ALARM, SILEN","70124"
"Magazine St & Soniat St","UNF","UNFOUNDED","POINT (-90.11005402142804 29.920379287323264)",,,,,"3668342.00000000","518606.00000000","A0000613","2","1H","2013-01-01T00:36:38.000","2013-01-01T00:57:01.000","2012-12-31T23:59:56.000","2013-01-01T00:27:00.000","94F","FIREWORKS","70115"
"026XX D'Abadie St","UNF","UNFOUNDED","POINT (-90.0742281157458 29.98104990280563)",,,,,"3679448.00000000","540791.00000000","A0000713","1","1H","2013-01-01T00:03:21.000","2013-01-01T00:07:26.000","2013-01-01T00:01:04.000","2013-01-01T00:01:05.000","21","COMPLAINT OTHER","70119"
"Newton St & Pacific Ave","UNF","UNFOUNDED","POINT (-90.04634357383449 29.945420710183157)",,,,,"3688421.00000000","527933.00000000","A0000813","4","2B","2013-01-01T00:07:09.000","2013-01-01T00:11:27.000","2013-01-01T00:00:51.000","2013-01-01T00:04:29.000","94","DISCHARGING FIREARM","70114"
"N Tonti St & Ursulines Ave","UNF","UNFOUNDED","POINT (-90.0767086070737 29.971456907990003)",,,,,"3678701.00000000","537294.00000000","A0000913","1","2B",,"2013-01-01T00:03:37.000","2013-01-01T00:01:55.000","2013-01-01T00:01:55.000","94","DISCHARGING FIREARM","70119"
"Baronne St & Felicity St","UNF","UNFOUNDED","POINT (-90.07968881566954 29.938141661002234)",,,,,"3677890.00000000","525169.00000000","A0001013","6","2B","2013-01-01T00:05:00.000","2013-01-01T00:07:23.000","2013-01-01T00:01:54.000","2013-01-01T00:02:55.000","94","DISCHARGING FIREARM","70113"
